Module,#,Chức năng,Mô tả,Loại
Orders (orders.js),10,PUT /:id/admin-complete,Admin hoàn thành (ảnh / Telegram),Backend
Orders (orders.js),11,GET /stats,Thống kê dashboard,Backend
Orders (orders.js),12,GET /history,Lịch sử đơn (phân trang / lọc),Backend
Imports (imports.js),1,GET /,Danh sách phiếu nhập,Backend
Imports (imports.js),2,POST /,Tạo phiếu nhập mới,Backend
Imports (imports.js),3,PUT /:id,Sửa phiếu nhập,Backend
Imports (imports.js),4,PUT /:id/assign,Gán TX cho phiếu nhập,Backend
Imports (imports.js),5,PUT /:id/complete,Hoàn thành nhập (multi-driver / ảnh / Telegram),Backend
Imports (imports.js),6,PUT /:id/pin,Ghim phiếu nhập,Backend
Imports (imports.js),7,POST /:id/split,Chia phiếu cho nhiều TX,Backend
Imports (imports.js),8,GET /:id/assignments,DS phân công TX,Backend
Imports (imports.js),9,POST /:id/confirm,Xác nhận phiếu nhập,Backend
Imports (imports.js),10,GET /:id/proof-images,Lấy ảnh chứng minh,Backend
Imports (imports.js),11,POST /:id/proof-images,Upload ảnh chứng minh,Backend
Imports (imports.js),12,DELETE /:id/proof-images/:idx,Xóa ảnh,Backend
Imports (imports.js),13,GET /:id/detail,Chi tiết phiếu nhập,Backend
Merged Orders (merged-orders.js),1,GET /,DS đơn ghép,Backend
Merged Orders (merged-orders.js),2,GET /:id,Chi tiết đơn ghép (stops + checkins),Backend
Merged Orders (merged-orders.js),3,POST /,Tạo đơn ghép từ nhiều đơn lẻ,Backend
Merged Orders (merged-orders.js),4,PUT /:id/assign,Gán TX cho đơn ghép,Backend
Merged Orders (merged-orders.js),5,POST /:id/checkin,Check-in điểm giao,Backend
Merged Orders (merged-orders.js),6,PUT /:id/complete,Hoàn thành đơn ghép,Backend
Chat (chat.js),1,GET /:orderId,Lấy tin nhắn của đơn,Backend
Chat (chat.js),2,POST /:orderId,Gửi tin nhắn,Backend
Chat (chat.js),3,GET /:orderId/unread,Đếm tin chưa đọc,Backend
Notifications (notifications.js),1,GET /,DS thông báo (theo user/role),Backend
Notifications (notifications.js),2,PUT /:id/read,Đánh dấu đã đọc,Backend
Notifications (notifications.js),3,POST /,Tạo thông báo mới,Backend
HR (hr.js),1,GET /employees,DS nhân viên,Backend
HR (hr.js),2,POST /employees,Thêm NV,Backend
HR (hr.js),3,PUT /employees/:id,Sửa NV,Backend
Materials (materials.js),1,GET /,DS vật tư (từ Supabase + MISA merge),Backend
Materials (materials.js),2,POST /,Thêm vật tư,Backend
Materials (materials.js),3,GET /sync-misa,Đồng bộ từ MISA,Backend
Warehouse (warehouse.js),1,GET /inventory,Tồn kho (lọc theo kho),Backend
Warehouse (warehouse.js),2,GET /alerts,Cảnh báo tồn kho thấp,Backend
Suppliers (suppliers.js),1,GET /,DS NCC,Backend
Suppliers (suppliers.js),2,POST /,Thêm NCC,Backend
Suppliers (suppliers.js),3,PUT /:id,Sửa NCC,Backend
Suppliers (suppliers.js),4,DELETE /:id,Xóa NCC,Backend
Customers (customers.js),1,GET /,DS KH,Backend
Customers (customers.js),2,POST /,Thêm KH,Backend
Customers (customers.js),3,PUT /:id,Sửa KH,Backend
Customers (customers.js),4,DELETE /:id,Xóa KH,Backend
Reports (reports.js),1,GET /suggestions,Gợi ý đơn hàng (AI dựa theo lịch sử),Backend
Webhooks (webhooks.js),1,POST /n8n,Webhook cho n8n automation,Backend
Webhooks (webhooks.js),2,POST /zalo,Webhook ZaloOA notifications,Backend
Telegram Service,1,sendTelegramMessage,Gửi text → nhóm (XUAT/NHAP/NOTIFY/DIEUPHOI),Service
Telegram Service,2,sendTelegramPhotos,Gửi ảnh kèm caption → nhóm,Service
Telegram Service,3,Telegram tagging,Tag @username dựa trên telegram_username/user_id,Service
MISA CRM Service,1,getMisaToken,Lấy/refresh OAuth token,Service
MISA CRM Service,2,getMisaOrders,Đồng bộ đơn hàng từ MISA,Service
MISA CRM Service,3,updateMisaOrder,Cập nhật đơn lên MISA,Service
MISA CRM Service,4,getMisaProducts,Lấy danh mục hàng hóa,Service
MISA CRM Service,5,pushOrderToMisa,Đẩy đơn duyệt lên MISA,Service
Firebase Service,1,notifyDriverOrderAssigned,Push FCM cho TX khi có đơn mới,Service
Firebase Service,2,sendPushToTopic,Push theo topic,Service
